"year","month","date_of_month","date","day_of_week","births"
1994,1,1,1994-01-01,"Sat",8096
1994,1,2,1994-01-02,"Sun",7772
1994,1,3,1994-01-03,"Mon",10142
1994,1,4,1994-01-04,"Tues",11248
1994,1,5,1994-01-05,"Wed",11053
1994,1,6,1994-01-06,"Thurs",11406
1994,1,7,1994-01-07,"Fri",11251
1994,1,8,1994-01-08,"Sat",8653
1994,1,9,1994-01-09,"Sun",7910
1994,1,10,1994-01-10,"Mon",10498
1994,1,11,1994-01-11,"Tues",11706
1994,1,12,1994-01-12,"Wed",11567
1994,1,13,1994-01-13,"Thurs",11212
1994,1,14,1994-01-14,"Fri",11570
1994,1,15,1994-01-15,"Sat",8660
1994,1,16,1994-01-16,"Sun",8123
1994,1,17,1994-01-17,"Mon",10567
1994,1,18,1994-01-18,"Tues",11541
1994,1,19,1994-01-19,"Wed",11257
1994,1,20,1994-01-20,"Thurs",11682
1994,1,21,1994-01-21,"Fri",11811
1994,1,22,1994-01-22,"Sat",8833
1994,1,23,1994-01-23,"Sun",8310
1994,1,24,1994-01-24,"Mon",11125
1994,1,25,1994-01-25,"Tues",11981
1994,1,26,1994-01-26,"Wed",11514
1994,1,27,1994-01-27,"Thurs",11702
1994,1,28,1994-01-28,"Fri",11666
1994,1,29,1994-01-29,"Sat",8988
1994,1,30,1994-01-30,"Sun",8096
1994,1,31,1994-01-31,"Mon",10765
1994,2,1,1994-02-01,"Tues",11755
1994,2,2,1994-02-02,"Wed",11483
1994,2,3,1994-02-03,"Thurs",11523
1994,2,4,1994-02-04,"Fri",11677
1994,2,5,1994-02-05,"Sat",8991
1994,2,6,1994-02-06,"Sun",8309
1994,2,7,1994-02-07,"Mon",10984
1994,2,8,1994-02-08,"Tues",12152
1994,2,9,1994-02-09,"Wed",11515
1994,2,10,1994-02-10,"Thurs",11623
1994,2,11,1994-02-11,"Fri",11517
1994,2,12,1994-02-12,"Sat",8945
1994,2,13,1994-02-13,"Sun",8171
1994,2,14,1994-02-14,"Mon",11551
1994,2,15,1994-02-15,"Tues",12164
1994,2,16,1994-02-16,"Wed",12009
