"airline","incl_reg_subsidiaries","avail_seat_km_per_week","incidents_85_99","fatal_accidents_85_99","fatalities_85_99","incidents_00_14","fatal_accidents_00_14","fatalities_00_14"
"Aer Lingus",FALSE,320906734,2,0,0,0,0,0
"Aeroflot",TRUE,1197672318,76,14,128,6,1,88
"Aerolineas Argentinas",FALSE,385803648,6,0,0,1,0,0
"Aeromexico",TRUE,596871813,3,1,64,5,0,0
"Air Canada",FALSE,1865253802,2,0,0,2,0,0
"Air France",FALSE,3004002661,14,4,79,6,2,337
"Air India",TRUE,869253552,2,1,329,4,1,158
"Air New Zealand",TRUE,710174817,3,0,0,5,1,7
"Alaska Airlines",TRUE,965346773,5,0,0,5,1,88
"Alitalia",FALSE,698012498,7,2,50,4,0,0
"All Nippon Airways",FALSE,1841234177,3,1,1,7,0,0
"American",TRUE,5228357340,21,5,101,17,3,416
"Austrian Airlines",FALSE,358239823,1,0,0,1,0,0
"Avianca",FALSE,396922563,5,3,323,0,0,0
"British Airways",TRUE,3179760952,4,0,0,6,0,0
"Cathay Pacific",TRUE,2582459303,0,0,0,2,0,0
"China Airlines",FALSE,813216487,12,6,535,2,1,225
"Condor",FALSE,417982610,2,1,16,0,0,0
"COPA",FALSE,550491507,3,1,47,0,0,0
"Delta / Northwest",TRUE,6525658894,24,12,407,24,2,51
"Egyptair",FALSE,557699891,8,3,282,4,1,14
"El Al",FALSE,335448023,1,1,4,1,0,0
"Ethiopian Airlines",FALSE,488560643,25,5,167,5,2,92
"Finnair",FALSE,506464950,1,0,0,0,0,0
"Garuda Indonesia",FALSE,613356665,10,3,260,4,2,22
"Gulf Air",FALSE,301379762,1,0,0,3,1,143
"Hawaiian Airlines",FALSE,493877795,0,0,0,1,0,0
"Iberia",FALSE,1173203126,4,1,148,5,0,0
"Japan Airlines",FALSE,1574217531,3,1,520,0,0,0
"Kenya Airways",FALSE,277414794,2,0,0,2,2,283
"KLM",TRUE,1874561773,7,1,3,1,0,0
"Korean Air",FALSE,1734522605,12,5,425,1,0,0
"LAN Airlines",FALSE,1001965891,3,2,21,0,0,0
"Lufthansa",TRUE,3426529504,6,1,2,3,0,0
"Malaysia Airlines",FALSE,1039171244,3,1,34,3,2,537
"Pakistan International",FALSE,348563137,8,3,234,10,2,46
"Philippine Airlines",FALSE,413007158,7,4,74,2,1,1
"Qantas",TRUE,1917428984,1,0,0,5,0,0
"Royal Air Maroc",FALSE,295705339,5,3,51,3,0,0
"SAS",TRUE,682971852,5,0,0,6,1,110
"Saudi Arabian",FALSE,859673901,7,2,313,11,0,0
"Singapore Airlines",FALSE,2376857805,2,2,6,2,1,83
"South African",FALSE,651502442,2,1,159,1,0,0
"Southwest Airlines",FALSE,3276525770,1,0,0,8,0,0
"Sri Lankan / AirLanka",FALSE,325582976,2,1,14,4,0,0
"SWISS",TRUE,792601299,2,1,229,3,0,0
"TACA",FALSE,259373346,3,1,3,1,1,3
"TAM",FALSE,1509195646,8,3,98,7,2,188
"TAP - Air Portugal",FALSE,619130754,0,0,0,0,0,0
"Thai Airways",FALSE,1702802250,8,4,308,2,1,1
"Turkish Airlines",FALSE,1946098294,8,3,64,8,2,84
"United / Continental",TRUE,7139291291,19,8,319,14,2,109
"US Airways / America West",TRUE,2455687887,16,7,224,11,2,23
"Vietnam Airlines",FALSE,625084918,7,3,171,1,0,0
"Virgin Atlantic",FALSE,1005248585,1,0,0,0,0,0
"Xiamen Airlines",FALSE,430462962,9,1,82,2,0,0
