"replicate","name","year"
1,"Arianna",1988
1,"Arianna",2002
1,"Arianna",2015
1,"Arianna",1998
1,"Arianna",1979
1,"Arianna",1971
1,"Arianna",1971
1,"Arianna",2015
1,"Arianna",1988
1,"Arianna",1979
1,"Arianna",1982
1,"Arianna",2004
1,"Arianna",2015
1,"Arianna",2006
1,"Arianna",1971
1,"Arianna",1988
1,"Arianna",1999
1,"Arianna",1996
1,"Arianna",1993
1,"Arianna",1996
1,"Arianna",2006
1,"Arianna",1979
1,"Arianna",1971
1,"Arianna",1995
1,"Arianna",2000
1,"Arianna",2013
1,"Arianna",1986
1,"Arianna",1988
1,"Arianna",2004
1,"Arianna",1976
1,"Arianna",1997
1,"Arianna",1971
1,"Arianna",2004
1,"Arianna",2015
1,"Arianna",1986
1,"Arianna",2000
1,"Arianna",1974
1,"Arianna",1988
1,"Arianna",1971
1,"Arianna",1976
1,"Arianna",1997
1,"Arianna",1994
1,"Arianna",1981
1,"Arianna",1979
1,"Arianna",2017
1,"Arianna",1976
1,"Arianna",2016
1,"Arianna",2015
1,"Arianna",1979
1,"Arianna",2015
1,"Artemis",2018
1,"Artemis",1988
1,"Artemis",1999
1,"Artemis",2015
1,"Artemis",1962
1,"Artemis",2004
1,"Artemis",2018
1,"Artemis",1988
1,"Artemis",2013
1,"Artemis",1988
1,"Artemis",2008
1,"Artemis",1983
1,"Artemis",1978
1,"Artemis",2000
1,"Artemis",1997
1,"Artemis",1976
1,"Artemis",2017
1,"Artemis",2015
1,"Artemis",1985
1,"Artemis",1979
1,"Artemis",1997
1,"Artemis",1978
1,"Artemis",2008
1,"Artemis",1997
1,"Artemis",2017
1,"Artemis",1993
1,"Artemis",1999
1,"Artemis",2000
1,"Artemis",2018
1,"Artemis",1996
1,"Artemis",1976
1,"Artemis",2006
1,"Artemis",1998
1,"Artemis",1996
1,"Artemis",1986
1,"Artemis",1985
1,"Artemis",2017
1,"Artemis",2017
1,"Artemis",2017
1,"Artemis",1979
1,"Artemis",2006
1,"Artemis",2000
1,"Artemis",1994
1,"Artemis",2008
1,"Artemis",1981
1,"Artemis",1962
1,"Artemis",2006
1,"Artemis",1982
1,"Artemis",1997
1,"Artemis",1974
1,"Bea",2016
1,"Bea",1971
1,"Bea",1986
1,"Bea",2002
1,"Bea",1992
1,"Bea",1976
1,"Bea",2015
1,"Bea",1985
1,"Bea",1976
1,"Bea",1999
1,"Bea",2013
1,"Bea",1997
1,"Bea",2000
1,"Bea",2008
1,"Bea",2006
1,"Bea",2015
1,"Bea",1978
1,"Bea",1978
1,"Bea",1979
1,"Bea",1992
1,"Bea",2015
1,"Bea",1996
1,"Bea",1985
1,"Bea",1979
1,"Bea",2015
1,"Bea",2017
1,"Bea",1985
1,"Bea",1994
1,"Bea",1990
1,"Bea",1983
1,"Bea",2013
1,"Bea",2008
1,"Bea",1996
1,"Bea",2015
1,"Bea",2008
1,"Bea",1985
1,"Bea",1974
1,"Bea",2015
1,"Bea",1976
1,"Bea",2006
1,"Bea",1988
1,"Bea",2017
1,"Bea",2015
1,"Bea",1976
1,"Bea",1962
1,"Bea",1990
1,"Bea",1997
1,"Bea",2015
1,"Bea",2017
1,"Bea",2000
1,"Camryn",2002
1,"Camryn",1997
1,"Camryn",2002
1,"Camryn",2013
1,"Camryn",1997
1,"Camryn",1979
1,"Camryn",2018
1,"Camryn",1971
1,"Camryn",1998
1,"Camryn",1996
1,"Camryn",1999
1,"Camryn",1983
1,"Camryn",2017
1,"Camryn",1996
1,"Camryn",1990
1,"Camryn",1981
1,"Camryn",1988
1,"Camryn",1996
1,"Camryn",2000
1,"Camryn",1976
1,"Camryn",1985
1,"Camryn",2000
1,"Camryn",2015
1,"Camryn",1976
1,"Camryn",1997
1,"Camryn",1996
1,"Camryn",1979
1,"Camryn",2015
1,"Camryn",2017
1,"Camryn",2016
1,"Camryn",1983
1,"Camryn",2015
1,"Camryn",2006
1,"Camryn",2016
1,"Camryn",2015
1,"Camryn",2006
1,"Camryn",1974
1,"Camryn",2015
1,"Camryn",1979
1,"Camryn",2015
1,"Camryn",1988
1,"Camryn",2017
1,"Camryn",1976
1,"Camryn",1978
1,"Camryn",2017
1,"Camryn",1996
1,"Camryn",1996
1,"Camryn",1994
1,"Camryn",1976
1,"Camryn",1988
1,"Cassandra",2015
1,"Cassandra",1976
1,"Cassandra",2015
1,"Cassandra",1981
1,"Cassandra",1988
1,"Cassandra",1985
1,"Cassandra",1979
1,"Cassandra",1971
1,"Cassandra",1978
1,"Cassandra",1979
1,"Cassandra",1986
1,"Cassandra",1974
1,"Cassandra",2006
1,"Cassandra",2016
1,"Cassandra",1986
1,"Cassandra",2018
1,"Cassandra",1986
1,"Cassandra",2006
1,"Cassandra",1986
1,"Cassandra",1988
1,"Cassandra",1979
1,"Cassandra",1985
1,"Cassandra",1995
1,"Cassandra",1962
1,"Cassandra",1978
1,"Cassandra",1971
1,"Cassandra",2015
1,"Cassandra",1994
1,"Cassandra",1978
1,"Cassandra",1962
1,"Cassandra",1971
1,"Cassandra",2017
